Patient_ID,Tumor_Barcode,Total_Mutation_Count,Expressed_Gene_Count,Mutated_Gene_Count,Expressed_Mutation_Count,Binding_Threshold_Score,Concentration_Ratio_Score,Stability_Ratio_Score
Pat85,MEL-IPI_Pat85-Tumor-SM-53U2Y,482,14668,351,381,0.002514941658961156,0.0018617354974994615,0.0020485562317850148
Pat86,MEL-IPI_Pat86-Tumor-SM-4DK3C,73,14668,59,61,5.290574657288438E-4,2.69123179509112E-4,2.705327524784584E-4
Pat87,MEL-IPI_Pat87-Tumor-SM-4DK3D,36,14668,29,30,3.1400833074224366E-4,2.2744628179360848E-4,2.3146245241456587E-4
Pat90,MEL-IPI_Pat90-Tumor-SM-4DK3G,211,14668,145,150,0.0012090846940813194,7.598333203179264E-4,6.948267610814574E-4
Pat98,MEL-IPI_Pat98-Tumor-SM-4CU6L,56,14668,47,47,4.1896944701891314E-4,1.4424978301219582E-4,1.4950602080232578E-4
Pat99,MEL-IPI_Pat99-Tumor-SM-4CU6M,19,14668,17,17,1.8276758103419333E-4,8.61498318822651E-5,8.097670022655379E-5
NI9507,NI9507_T,65,15024,54,57,2.7407841860449533E-4,2.225641223835284E-4,2.826433694973485E-4
NR1867,NR1867_T,75,14668,61,64,3.4958471427726234E-4,2.2272836817827102E-4,2.171112440122469E-4
NR2137,NR2137_T,583,14668,418,452,0.003667486663111452,0.003062034350553744,0.0030220534691245415
NR3549,NR3549_T,369,14668,252,270,0.0014432878026592322,0.0010377766124588517,0.0010129193650603163
NR4018,NR4018_T,128,14668,91,97,8.665947499726379E-4,7.05502145911141E-4,7.497812545101956E-4
NR4045,NR4045_T,404,14668,289,318,0.0025258385928558225,0.0018121073368364549,0.0017857603982507353
NR4083,NR4083_T,295,14668,209,224,0.002009749033888397,0.001293621677484147,0.001275942537891317
NR4631,NR4631_T,1053,14668,670,776,0.006299341397012714,0.004605460245400761,0.0047191420702999975
NR4810,NR4810_T,342,14668,250,265,0.002481102607099994,0.001796555108533937,0.00175113440346919
NR4949,NR4949_T,527,14668,376,414,0.0037065115080705535,0.0027314516074105066,0.0028292128152052065
NR8815,NR8815_T,1570,14668,1014,1194,0.009608619143848696,0.006467047552971006,0.00649355068609192
NR9445,NR9445_T,231,14668,177,182,0.001379137968394506,0.0011157267260583081,0.0011375792625787362
NR9449,NR9449_T,270,14668,199,207,0.0018393282846952408,0.0013001240424865834,0.001374262314068786
NR9521,NR9521_T,963,14668,650,730,0.006184319852280407,0.004276379238517425,0.004182194785854909
NR9705,NR9705_T,25,14668,19,21,1.333751702722319E-4,1.1868959995620099E-4,8.981370269112166E-5
NR9765,NR9765_T,73,14668,59,60,5.233537906248475E-4,4.140058010246861E-4,3.843161468415346E-4
PR12117,PR12117_T,1023,14668,655,741,0.006454015409404712,0.004738461727670229,0.004803752374834769
PR4035,PR4035_T,471,14668,334,358,0.002885939347401223,0.0022313237516000672,0.0022508854216369834
PR4046,PR4046_T,120,14668,85,89,7.731349407211763E-4,4.4806812271125374E-4,4.727535777618863E-4
PR4077,PR4077_T,1575,14668,1036,1247,0.00829344546455324,0.005932665818918048,0.005785626842312874
PR4091,PR4091_T,244,14668,182,187,0.0016301596452670264,0.0010285916043107912,0.0010544291684739804
R7495,R7495_T,67,15024,54,54,4.6616304220692406E-4,3.1402785619027984E-4,3.147707318540416E-4
RH090935,RH090935_T,102,15024,87,88,6.357127708719323E-4,4.864412404154139E-4,5.041541874811761E-4
RI1933,RI1933_T,429,15024,301,325,0.0023456952700643408,0.001440451060218284,0.001425285022382261
