Patient_ID,Tumor_Barcode,Total_Mutation_Count,Expressed_Gene_Count,Mutated_Gene_Count,Expressed_Mutation_Count,Binding_Threshold_Score,Concentration_Ratio_Score,Stability_Ratio_Score
JB112852,JB112852_T,82,15024,67,69,3.7392056964036247E-4,1.7297573247487819E-4,1.9128782921462584E-4
KA3947,KA3947_T,267,15024,190,203,0.0018498835630487154,0.0015459143715185197,0.0016618415566028721
LO3793,LO3793_T,69,15024,49,51,3.8790371575592175E-4,3.864441861051171E-4,3.902344766154586E-4
LO5004,LO5004_T,37,15024,31,32,2.1229143992718136E-4,1.281468973785005E-4,1.245114159859062E-4
LSD0167,LSD0167_T,380,14668,275,290,0.00266516802692085,0.0020475092291486474,0.002056960087954862
LSD2057,LSD2057_T,161,14668,109,116,9.275111781853473E-4,6.122411903775049E-4,6.018417941460186E-4
LSD3484,LSD3484_T,472,14668,324,357,0.0027816550768758885,0.00208075354382653,0.0019361047290712419
LSD4744,LSD4744_T,1030,14668,692,776,0.006257606755149081,0.004444886889473976,0.004560772137427782
LSD6819,LSD6819_T,194,14668,145,148,0.001278422298797599,8.328836772317771E-4,8.400770983256756E-4
SU2C-1026,LUAD-BS-08-013532-Tumor-SM-9J2Y1,141,15024,92,95,7.212455152114661E-4,5.648810016795069E-4,5.560794013894643E-4
SU2C-1022,LUAD-BS-10-J11656-Tumor-SM-9J2Y7,204,15024,150,154,0.001166091835740013,8.178753772823955E-4,7.632577347800318E-4
SU2C-1037,LUAD-BS-10-R22401-Tumor-SM-9J2XK,125,15024,99,101,7.796019189548753E-4,4.534693615042551E-4,4.3410918979081003E-4
SU2C-1039,LUAD-BS-11-R21845-Tumor-SM-9J2YH,187,15024,125,147,7.420737515575482E-4,4.010813159405213E-4,4.4430177482246425E-4
SU2C-1029,LUAD-BS-12-R10269-Tumor-SM-9J2XO,285,15024,214,224,0.001770445472945359,0.0019261010068112316,0.0019586462434286744
SU2C-1027,LUAD-BS-12-X27523-Tumor-SM-9J2Y5,106,15024,75,83,5.555964683959802E-4,3.9718211984363094E-4,3.91919296863108E-4
SU2C-1030,LUAD-BS-13-F33496-Tumor-SM-9J2XU,171,15024,106,123,7.352881248876564E-4,4.2019811249005556E-4,4.2862990444236804E-4
SU2C-1024,LUAD-BS-13-J60666-Tumor-SM-9J2YL,354,15024,293,305,0.0026170174330012452,0.0021250244888050274,0.00202381263922502
SU2C-1028,LUAD-BS-13-N35728-Tumor-SM-9J2XI,106,15024,78,83,8.012039381062319E-4,5.205412498913153E-4,5.33091597380686E-4
SU2C-1034,LUAD-BS-13-X14864-Tumor-SM-9J2XQ,873,15024,635,688,0.005308765134667381,0.004345572602768688,0.0043417585477254494
SU2C-1025,LUAD-BS-14-G65174-Tumor-SM-9J2YF,250,15024,165,173,0.001453029438233333,8.858779551749185E-4,8.985742569074251E-4
SU2C-1021,LUAD-BS-14-J45174-Tumor-SM-9J2YJ,162,15024,130,133,0.001020507288592265,3.975490443405283E-4,4.121817378023307E-4
SU2C-1035,LUAD-BS-14-N19784-Tumor-SM-9J2XW,123,15024,93,95,0.0010924827845494312,6.633555768538191E-4,6.907290960055379E-4
LUNG-2630,LUNG-2630-Tumor-SM-CLFOY,502,15024,362,393,0.0032864038322714118,0.0024921388580017023,0.0024785809951645144
DFCI-11-104,Lung-DFCI-11-104-009-Tumor-SM-5YS7O,1221,15024,853,978,0.0076042420949969936,0.005816167724185584,0.005686095497232202
M4945,M4945_T,230,15024,173,180,0.0011430918317949512,8.327697395069666E-4,8.173902362463847E-4
MA7027,MA7027_T,209,15024,154,161,0.0010936882986848362,6.730084156570948E-4,6.163813355376524E-4
MEL-582186,MEL-582186-Tumor-SM-CN21Q,51,14668,34,35,3.7311949343832307E-4,2.946563577757022E-4,3.1204410503749003E-4
MEL-587761,MEL-587761-Tumor-SM-CN1ZV,171,14668,118,121,7.798426656987489E-4,4.8146659544545667E-4,5.043110014542052E-4
MEL-650366,MEL-650366-Tumor-SM-CN221,204,14668,126,136,0.0013436576917525977,8.178501376560066E-4,7.631955210714025E-4
